"거래금액","시군구","도로명주소","지번주소","아파트","거래유형","건축년도","전용면적","층","월","일","경도","위도","학교","학원","병원","술집","공공기관","문화시설","카페","역최단거리","가장 가까운 역","세대수","최고층","세대당주차대수","난방방식","현관구조","방개수","욕실개수","시군구대덕구","시군구동구","시군구서구","시군구유성구","시군구중구","거래유형중개거래","거래유형직거래","난방방식개별난방","난방방식중앙난방","난방방식지역난방","현관구조계단식","현관구조복도식","현관구조복합식"
22800,"대덕구","대덕구 동춘당로114번길 47","대전시 대덕구 송촌동 444","선비마을아파트2단지","중개거래",1999,59.76,11,9,21,"127.438909331195","36.3686046683734",10,163,55,71,9,1,81,2038,"대전복합터미널",1146,20,1.15,"개별난방","계단식",3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
39400,"대덕구","대덕구 계족산로 136","대전시 대덕구 송촌동 494-1","선비마을5단지","중개거래",1999,84.88,13,9,25,"127.446263177647","36.3651246823553",6,138,26,62,4,1,66,1851,"대전복합터미널",1554,20,1.13,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
25600,"대덕구","대덕구 계족산로 136","대전시 대덕구 송촌동 494-1","선비마을5단지","중개거래",1999,59.96,11,9,25,"127.446263177647","36.3651246823553",6,138,26,62,4,1,66,1851,"대전복합터미널",1554,20,1.13,"개별난방","계단식",2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
38000,"대덕구","대덕구 동춘당로114번길 47","대전시 대덕구 송촌동 444","선비마을아파트2단지","중개거래",1999,84.45,9,9,26,"127.438909331195","36.3686046683734",10,163,55,71,9,1,81,2038,"대전복합터미널",1146,20,1.15,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
17000,"대덕구","대덕구 동춘당로 160","대전시 대덕구 법동 190","삼익소월","중개거래",1993,59.76,6,9,2,"127.434505755522","36.3691053240522",11,149,74,75,10,2,91,2094,"대전복합터미널",810,15,0.63,"개별난방","복도식",2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
23000,"대덕구","대덕구 아리랑로 211","대전시 대덕구 법동 389","영진로얄","중개거래",1990,84.88,3,9,2,"127.426553431711","36.3752271529311",4,48,33,3,9,3,29,2911,"대전복합터미널",600,15,0.7,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
28500,"대덕구","대덕구 계족로690번길 21","대전시 대덕구 법동 440-4","선비마을1","중개거래",1999,84.89,15,9,3,"127.430115365924","36.372922707094",10,101,42,15,9,4,51,2577,"대전복합터미널",1140,20,1.05,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
26000,"대덕구","대덕구 계족로690번길 21","대전시 대덕구 법동 440-4","선비마을1","중개거래",1999,84.89,2,9,5,"127.430115365924","36.372922707094",10,101,42,15,9,4,51,2577,"대전복합터미널",1140,20,1.05,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
19500,"대덕구","대덕구 동춘당로 178","대전시 대덕구 법동 191-1","보람","중개거래",1995,59.16,4,9,6,"127.431090247311","36.3690528127672",9,146,73,97,8,2,103,2139,"대전복합터미널",1735,15,0.99,"개별난방","복도식",3,1,1,0,0,0,0,1,0,1,0,0,0,1,0
29800,"대덕구","대덕구 동춘당로 160","대전시 대덕구 법동 190","삼익소월","중개거래",1993,84.85,8,9,9,"127.434505755522","36.3691053240522",11,149,74,75,10,2,91,2094,"대전복합터미널",810,15,0.63,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
