"거래금액","건축년도","전용면적","층","학교","학원","병원","술집","공공기관","문화시설","카페","역최단거리","세대수","최고층","세대당주차대수","방개수","욕실개수","시군구대덕구","시군구동구","시군구서구","시군구유성구","시군구중구","거래유형중개거래","거래유형직거래","난방방식개별난방","난방방식중앙난방","난방방식지역난방","현관구조계단식","현관구조복도식","현관구조복합식"
22950,1999,59.87,13,10,101,42,15,9,4,51,2577,1140,20,1.05,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
29000,1999,84.89,14,10,101,42,15,9,4,51,2577,1140,20,1.05,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
22700,1993,84.835,1,12,188,77,98,10,1,105,1833,1050,15,0.82,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
42900,2020,74.9979,4,7,80,59,63,8,4,75,2185,1503,29,1.23,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
20900,1989,84.9712,14,6,69,41,16,9,4,49,2691,480,15,0.5,4,2,1,0,0,0,0,1,0,1,0,0,1,0,0
27800,1999,84.89,15,10,101,42,15,9,4,51,2577,1140,20,1.05,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
23000,1994,84.9,2,5,50,21,30,2,3,50,1817,425,17,0.68,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
26000,2006,59.7551,4,7,81,38,58,6,6,133,984,646,25,1.09,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
8900,2001,40.1378,5,6,78,22,24,2,3,52,1686,172,15,0.7,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0
28000,2012,64.169,4,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
9000,1995,59.94,3,6,61,42,53,3,1,85,10759,302,17,0.58,3,1,1,0,0,0,0,0,1,1,0,0,0,1,0
35000,2012,84.956,43,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,0,1,0,0,1,1,0,0
10000,1990,67.41,2,8,75,42,56,4,1,85,10611,230,15,1,3,1,1,0,0,0,0,1,0,1,0,0,0,1,0
37000,2012,84.634,48,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
48000,2012,141.366,24,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
46500,2012,117.388,17,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
35000,2012,84.956,44,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
28000,2012,64.169,20,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,0,1,0,0,1,1,0,0
13900,2021,37.6497,11,7,75,40,49,2,0,77,11270,28,12,0.5,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
35300,2012,84.956,40,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
3200,1995,29.73,1,6,62,42,55,4,1,87,10647,49,7,0.32,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0
31400,2012,64.428,25,5,61,41,40,4,0,63,11257,2312,50,1.61,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
39000,2017,84.9679,12,4,58,39,42,2,0,66,11455,765,25,1.18,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
17000,1999,59.96,14,5,44,8,8,3,1,23,10697,456,15,1.06,3,1,1,0,0,0,0,1,0,0,0,1,1,0,0
11100,1993,49.86,11,5,43,10,8,3,1,24,10556,900,15,0.44,3,1,1,0,0,0,0,1,0,0,0,1,0,1,0
11300,1993,49.86,5,5,43,10,8,3,1,24,10556,900,15,0.44,3,1,1,0,0,0,0,1,0,0,0,1,0,1,0
11000,1993,49.86,13,5,43,10,8,3,1,24,10556,900,15,0.44,3,1,1,0,0,0,0,0,1,0,0,1,0,1,0
16800,2011,59.9788,2,6,61,18,21,3,2,46,10584,199,15,1,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0
16400,1999,59.96,3,5,44,8,8,3,1,23,10697,456,15,1.06,3,1,1,0,0,0,0,1,0,0,0,1,1,0,0
10000,1993,49.86,13,5,43,10,8,3,1,24,10556,900,15,0.44,3,1,1,0,0,0,0,1,0,0,0,1,0,1,0
